iteration,exp4,exp5,exp6,exp7,exp8,exp9,exp10
228,0.10350182,0.082868758,0.063273932,0.050437326,0.03940437,0.029818482,0.024416284
229,0.103501891,0.082868278,0.063273001,0.050436455,0.039403524,0.029817744,0.024415661
230,0.103502719,0.082867659,0.063272105,0.050435507,0.039402678,0.029817006,0.024415039
231,0.103503493,0.082867406,0.063271452,0.05043468,0.039401832,0.029816269,0.024414416
232,0.10350384,0.082866688,0.06327053,0.050433732,0.039400986,0.029815531,0.024413794
233,0.103504638,0.08286641,0.063269852,0.05043296,0.03940014,0.029814793,0.024413171
234,0.103505287,0.082865881,0.063268956,0.050432011,0.039399294,0.029814055,0.024412549
235,0.103505423,0.082865339,0.063268241,0.050431145,0.039398448,0.029813318,0.024411926
236,0.103506124,0.082865205,0.063267466,0.050430197,0.039397602,0.02981258,0.024411304
237,0.103506334,0.082864615,0.063266644,0.050429248,0.039396756,0.029811842,0.024410682
238,0.103506819,0.082864074,0.063265754,0.050428446,0.03939591,0.029811105,0.024410059
239,0.103507424,0.082863666,0.063264831,0.050427498,0.039395065,0.029810367,0.024409437
240,0.103507649,0.082863115,0.063263965,0.050426549,0.039394219,0.02980963,0.024408815
241,0.103507884,0.082862658,0.063263205,0.050425601,0.039393373,0.029808892,0.024408193
242,0.103508548,0.082861987,0.063262283,0.050424653,0.039392528,0.029808155,0.024407571
243,0.103509582,0.082861893,0.063261734,0.050423829,0.039391682,0.029807417,0.024406949
244,0.103510838,0.082862101,0.063261154,0.050423057,0.039390837,0.02980668,0.024406326
245,0.103511143,0.082861367,0.063260301,0.050422109,0.039389991,0.029805943,0.024405704
246,0.103512138,0.082861072,0.063259563,0.050421161,0.039389146,0.029805206,0.024405082
247,0.103512771,0.082860639,0.063258737,0.050420213,0.0393883,0.029804468,0.024404461
248,0.103512985,0.082859919,0.063257806,0.050419343,0.039387455,0.029803731,0.024403839
249,0.103513924,0.082859901,0.063257212,0.050418478,0.039386609,0.029802994,0.024403217
250,0.103514254,0.082859163,0.063256387,0.05041753,0.039385764,0.029802257,0.024402595
251,0.103514623,0.08285859,0.063255457,0.050416659,0.039384919,0.02980152,0.024401973
252,0.103515176,0.082858132,0.063254535,0.05041582,0.039384074,0.029800783,0.024401351
253,0.103516643,0.082857699,0.063253763,0.050414873,0.039383228,0.029800046,0.02440073
254,0.10351662,0.082856985,0.063253007,0.050413925,0.039382383,0.02979931,0.024400108
255,0.103517965,0.082856752,0.06325231,0.05041306,0.039381538,0.029798573,0.024399486
256,0.10351843,0.082856336,0.063251538,0.050412195,0.039380693,0.029797836,0.024398865
257,0.103518453,0.082855732,0.063250671,0.050411247,0.039379848,0.029797099,0.024398243
258,0.103519681,0.08285556,0.063249984,0.050410491,0.039379003,0.029796362,0.024397622
259,0.103520035,0.082854922,0.06324912,0.050409544,0.039378158,0.029795626,0.024397
260,0.103520398,0.082854495,0.06324819,0.050408741,0.039377313,0.029794889,0.024396379
261,0.103520768,0.082854066,0.063247268,0.050407793,0.039376468,0.029794152,0.024395757
262,0.103521117,0.082853426,0.063246412,0.050406845,0.039375622,0.029793416,0.024395136
263,0.103521529,0.082852884,0.06324565,0.050405898,0.039374777,0.029792679,0.024394514
264,0.103521753,0.082852512,0.063244851,0.050405058,0.039373932,0.029791942,0.024393893
265,0.10352188,0.082851857,0.063243961,0.050404188,0.039373088,0.029791206,0.024393272
266,0.103521874,0.08285127,0.063243038,0.05040324,0.039372243,0.029790469,0.02439265
267,0.103522367,0.082850808,0.063242116,0.050402293,0.039371398,0.029789733,0.024392029
268,0.10352313,0.082850606,0.063241226,0.050401345,0.039370553,0.029788996,0.024391408
269,0.103523505,0.082850168,0.063240412,0.050400397,0.039369708,0.02978826,0.024390786
270,0.103524318,0.082849661,0.063239558,0.050399449,0.039368863,0.029787524,0.024390165
271,0.103524643,0.082849146,0.063238727,0.050398501,0.039368018,0.029786787,0.024389544
272,0.103525389,0.082848644,0.063237805,0.050397553,0.039367173,0.029786051,0.024388923
273,0.103525947,0.082848137,0.06323694,0.050396714,0.039366328,0.029785314,0.024388301
274,0.103526299,0.082847492,0.063236009,0.050395766,0.039365483,0.029784578,0.02438768
275,0.103526239,0.082846772,0.063235087,0.050394818,0.039364638,0.029783842,0.024387059
276,0.10352641,0.082846199,0.063234405,0.050393869,0.039363793,0.029783105,0.024386438
277,0.103526906,0.082845736,0.063233509,0.050392921,0.039362949,0.029782369,0.024385817
278,0.1035272,0.08284508,0.063232587,0.050391973,0.039362104,0.029781633,0.024385196
279,0.103527541,0.082844331,0.063231665,0.050391025,0.039361259,0.029780897,0.024384574
280,0.10352781,0.082843692,0.063230742,0.050390077,0.039360414,0.02978016,0.024383953
281,0.103528271,0.082843237,0.063229888,0.050389129,0.03935957,0.029779424,0.024383332
282,0.103528548,0.082842607,0.063228957,0.050388181,0.039358916,0.029778688,0.024382711
283,0.103528679,0.082842057,0.063228025,0.050387234,0.039358071,0.029777952,0.024382091
284,0.103529011,0.082841571,0.0632272,0.050386286,0.039357227,0.029777216,0.02438147
285,0.103529433,0.082840889,0.063226268,0.050385338,0.039356382,0.02977648,0.024380849
286,0.10352992,0.082840335,0.063225402,0.05038439,0.039355538,0.029775744,0.024380228
287,0.103529943,0.082839594,0.063224479,0.050383442,0.039354693,0.029775009,0.024379607
288,0.103530429,0.082838985,0.063223654,0.050382494,0.039353849,0.029774273,0.024378987
289,0.103531362,0.082838546,0.063222808,0.050381547,0.039353004,0.029773537,0.024378366
290,0.103532416,0.08283843,0.06322201,0.050380677,0.03935216,0.029772801,0.024377745
291,0.103532561,0.082837827,0.063221078,0.050379807,0.039351315,0.029772065,0.024377125
292,0.103533056,0.082837153,0.063220147,0.050378859,0.039350471,0.02977133,0.024376504
293,0.103533381,0.082836783,0.063219312,0.050377989,0.039349627,0.029770594,0.024375883
294,0.103534644,0.082836502,0.06321854,0.050377042,0.039348782,0.029769859,0.024375263
295,0.103535232,0.08283624,0.063217769,0.050376094,0.039347938,0.029769123,0.024374643
296,0.103536673,0.08283577,0.063216847,0.050375293,0.039347094,0.029768388,0.024374022
297,0.103537227,0.082835622,0.063216012,0.050374345,0.03934625,0.029767652,0.024373402
298,0.10353726,0.082835108,0.063215146,0.050373398,0.039345406,0.029766917,0.024372781
299,0.103537678,0.082834514,0.063214291,0.05037245,0.039344562,0.029766181,0.024372161
300,0.10353797,0.082834407,0.063213702,0.050371503,0.039343718,0.029765446,0.024371541
301,0.103538347,0.08283374,0.06321278,0.050370555,0.039342874,0.029764711,0.024370921
302,0.103538265,0.082832989,0.06321189,0.050369686,0.03934203,0.029763976,0.0243703
303,0.103538357,0.082832551,0.063211059,0.050368901,0.039341186,0.02976324,0.02436968
304,0.10353874,0.082832005,0.063210194,0.050367953,0.039340342,0.029762505,0.02436906
305,0.103538996,0.082831416,0.063209263,0.050367006,0.039339498,0.02976177,0.02436844
306,0.103539448,0.082831066,0.063208428,0.050366136,0.039338654,0.029761035,0.02436782
307,0.103539133,0.082830438,0.063207497,0.050365189,0.03933781,0.0297603,0.0243672
308,0.103539976,0.08283029,0.063206854,0.050364325,0.039336966,0.029759565,0.02436658
309,0.103540535,0.082829809,0.063205958,0.050363377,0.039336123,0.02975883,0.02436596
310,0.103541439,0.08282971,0.063205236,0.050362513,0.039335279,0.029758095,0.02436534
311,0.103541927,0.082829516,0.063204511,0.050361794,0.039334435,0.02975736,0.02436472
312,0.103542567,0.082829057,0.063203589,0.050360992,0.039333591,0.029756625,0.0243641
313,0.10354352,0.082828751,0.063202698,0.050360153,0.039332747,0.02975589,0.02436348
314,0.103544166,0.082828263,0.063201929,0.050359283,0.039331903,0.029755155,0.02436286
